metric,n_total,n_perfect,n_partial,n_incorrect,auprc,p_at_90r,p_at_95r,p_at_99r,auroc,sens_at_90spec,sens_at_95spec,sens_at_99spec
mean_pairwise_rouge1,756,369,297,90,0.1865,0.1205,0.119,0.119,0.6487,0.2333,0.0556,0.0111
mean_pairwise_rougeL,756,369,297,90,0.1907,0.1205,0.119,0.119,0.6498,0.2,0.0667,0.0
mean_vs_greedy_rouge1,756,369,297,90,0.2442,0.1976,0.1842,0.1503,0.7324,0.2222,0.1556,0.0667
mean_vs_greedy_rougeL,756,369,297,90,0.2224,0.1841,0.1635,0.1406,0.7121,0.1889,0.1444,0.0333
prob_incorrect,756,369,297,90,0.2314,0.1765,0.161,0.1366,0.7501,0.2667,0.1,0.0
