target_coverage,target_accuracy,threshold,actual_coverage,n_retained,accuracy,acc_change
1.0,,0.5402,1.0,756,0.881,0.0
0.9,,0.2357,0.8995,680,0.8956,0.0146
0.8,,0.1884,0.7989,604,0.899,0.0181
0.7,,0.141,0.6997,529,0.9187,0.0378
0.6,,0.1091,0.5992,453,0.9448,0.0639
0.5,,0.0889,0.5,378,0.9656,0.0847
,0.9,0.1846,0.7937,600,0.9,0.019
,0.95,0.0987,0.5476,414,0.9517,0.0707
,0.975,0.0738,0.3823,289,0.9758,0.0948
,0.99,0.0403,0.0344,26,1.0,0.119
