target_coverage,target_accuracy,threshold,actual_coverage,n_retained,accuracy,acc_change
1.0,,0.8957,1.0,756,0.881,0.0
0.9,,0.3208,0.8995,680,0.9118,0.0308
0.8,,0.1837,0.7989,604,0.9437,0.0628
0.7,,0.1218,0.6997,529,0.9641,0.0831
0.6,,0.0765,0.5992,453,0.9779,0.097
0.5,,0.0578,0.5,378,0.9815,0.1005
,0.9,0.3994,0.9325,705,0.9007,0.0198
,0.95,0.165,0.7725,584,0.9503,0.0694
,0.975,0.087,0.6217,470,0.9766,0.0956
,0.99,0.0472,0.422,319,0.9906,0.1096
