metric,n_total,n_perfect,n_partial,n_incorrect,auprc,p_at_90r,p_at_95r,p_at_99r,auroc,sens_at_90spec,sens_at_95spec,sens_at_99spec
blur_rouge1,756,369,297,90,0.2396,0.1855,0.1648,0.1259,0.7245,0.2444,0.1667,0.0667
blur_rougeL,756,369,297,90,0.2139,0.1804,0.1648,0.1253,0.7099,0.2,0.1556,0.0333
mean_rouge1,756,369,297,90,0.2423,0.2005,0.1632,0.1226,0.7239,0.2222,0.1889,0.0667
mean_rougeL,756,369,297,90,0.2173,0.1876,0.1488,0.1224,0.7161,0.1889,0.1556,0.0333
noise_rouge1,756,369,297,90,0.2339,0.1677,0.1558,0.119,0.6938,0.2222,0.1667,0.0778
noise_rougeL,756,369,297,90,0.2045,0.166,0.1478,0.119,0.6858,0.1889,0.1556,0.0333
prob_incorrect,756,369,297,90,0.2275,0.1884,0.1467,0.1233,0.7193,0.2222,0.1444,0.0444
